id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,host_listing_count,availability_365
1069266,5867023,Michael,Manhattan,Midtown East,40.75685194,-73.96475423,Entire home/apt,160,3,62,12/17/14,3,1,322
1846722,2631556,Denise,Manhattan,Hamilton Heights,40.83059907,-73.94101428,Entire home/apt,105,1,22,12/29/14,1.8,2,348
2061725,4601412,Miao,Brooklyn,Bushwick,40.69218932,-73.92412,Private room,58,3,35,12/29/14,3.2,4,227
44974,198425,Sara,Manhattan,West Village,40.73475109,-74.00259246,Entire home/apt,185,10,26,10/30/14,0.5,1,274
4701675,22590025,Charles,Manhattan,Chelsea,40.74528161,-73.99783627,Entire home/apt,195,1,1,12/8/14,1,1,365
68914,343302,Price,Brooklyn,Carroll Gardens,40.6790599,-73.99473046,Entire home/apt,165,2,16,12/11/14,0.4,2,287
4832596,4148973,Francisco,Brooklyn,Bushwick,40.68442184,-73.90988221,Private room,80,1,0,,,1,364
2562510,13119459,Jordan,Manhattan,Chinatown,40.71931947,-73.99724679,Private room,120,2,0,,,1,273
3005360,4421803,Jen,Manhattan,East Village,40.72602241,-73.98641795,Entire home/apt,150,1,14,12/22/14,1.8,4,274
2431607,4973668,Gloria,Brooklyn,Bedford-Stuyvesant,40.68642018,-73.9344017,Shared room,40,4,10,9/2/14,1.3,4,335
1322641,2219808,Garth,Brooklyn,Fort Greene,40.68906208,-73.97790509,Entire home/apt,150,2,0,,,1,334
4833061,24879430,Dave,Brooklyn,Bushwick,40.68906438,-73.91614428,Private room,75,1,0,,,1,337
234327,652642,John,Manhattan,Midtown,40.75112878,-73.98534538,Shared room,80,3,7,11/4/14,0.2,25,365
2000287,10303472,Vaughn,Brooklyn,Crown Heights,40.6677904,-73.93678658,Private room,110,1,26,11/16/14,2.1,3,364
2525956,7365834,Sebastian,Manhattan,Times Square/Theatre District,40.76067918,-73.98444316,Entire home/apt,189,19,7,12/17/14,0.8,3,365
809929,4260203,Megan,Manhattan,West Village,40.73510923,-74.00182143,Entire home/apt,200,2,8,11/19/14,0.3,1,339
753622,869880,Cynthia K,Manhattan,East Village,40.73328538,-73.9843566,Private room,95,5,6,12/14/14,0.3,2,365
1781041,9348914,Danielle,Manhattan,Washington Heights,40.86227015,-73.9270169,Entire home/apt,125,1,2,6/10/14,0.1,1,365
4060165,1860033,Skylar,Manhattan,Washington Heights,40.84796614,-73.93046644,Shared room,35,7,6,12/19/14,1.8,3,365
4323940,4344968,Margie,Brooklyn,Crown Heights,40.67099719,-73.9581066,Entire home/apt,165,1,1,11/2/14,0.5,1,349
1832976,724988,Shelli,Manhattan,Financial District,40.70687933,-74.00548582,Private room,100,2,30,10/27/14,2.2,2,123
4218098,21892444,Francesca,Manhattan,Harlem,40.80652596,-73.95193601,Entire home/apt,110,2,2,10/21/14,0.7,1,191
4053471,3967335,Molly,Brooklyn,Greenpoint,40.72606714,-73.95102528,Private room,65,1,4,12/8/14,1.2,2,336
4831993,24873252,Samantha,Brooklyn,Bushwick,40.69863005,-73.9285374,Private room,200,1,0,,,1,2
2596813,13298061,George,Manhattan,Upper West Side,40.79932214,-73.96767927,Private room,150,2,11,10/16/14,1.2,1,332
4810267,9374970,Barrett,Manhattan,Chinatown,40.71812503,-73.99484809,Private room,300,1,0,,,1,2
312664,5926,Cin,Manhattan,Harlem,40.81316065,-73.94902419,Entire home/apt,255,1,33,12/1/14,1,10,324
4358437,22623725,Marlyn,Manhattan,East Harlem,40.80361525,-73.94079242,Private room,150,3,0,,,1,365
26229,64206,Mister,Manhattan,Greenwich Village,40.73400013,-73.99449085,Entire home/apt,299,5,37,11/16/14,0.7,1,353
2993952,2731014,Robert,Manhattan,Soho,40.72345022,-74.00325733,Entire home/apt,195,1,1,6/28/14,0.2,1,213
3414741,10451037,Owen,Manhattan,Civic Center,40.71117318,-74.00667598,Entire home/apt,365,2,1,9/13/14,0.3,1,347
4796066,19805631,Rod,Manhattan,Hell's Kitchen,40.76543852,-73.99463794,Private room,105,1,1,12/29/14,1,2,1
1006877,72062,Bruce,Manhattan,East Village,40.73021049,-73.98145037,Entire home/apt,225,1,13,10/29/14,0.7,10,364
798391,3381805,Jonathan,Manhattan,Hamilton Heights,40.82490946,-73.95137108,Private room,90,2,2,1/4/14,0.2,1,220
4594464,23815697,Amanda,Manhattan,Kips Bay,40.74009883,-73.97914504,Entire home/apt,150,1,0,,,1,283
3235070,14337132,Norva,Manhattan,Harlem,40.80117641,-73.95450999,Entire home/apt,125,2,3,11/30/14,1.1,1,6
2677222,13707331,Shelly,Manhattan,Harlem,40.81094295,-73.95097066,Private room,109,2,20,12/12/14,2.4,1,365
2309222,11791227,David,Manhattan,Chelsea,40.74139958,-73.99747325,Entire home/apt,400,1,0,,,1,311
244481,282089,Taka,Manhattan,Financial District,40.70654355,-74.00878387,Private room,99,3,1,11/7/11,0,1,365
2407196,5905011,Annette,Manhattan,Harlem,40.81904473,-73.94325286,Private room,89,2,27,11/3/14,3,1,270
4713297,24355708,Nicole,Manhattan,Noho,40.72633595,-73.99377219,Entire home/apt,250,1,0,,,1,360
4849849,24004927,Eli,Queens,Astoria,40.77245498,-73.91922627,Private room,80,2,0,,,1,89
4846095,22758010,Kim,Brooklyn,Bushwick,40.69928064,-73.92903403,Private room,65,5,0,,,1,2
4879165,25100279,Gal,Manhattan,Alphabet City,40.72371544,-73.98378124,Entire home/apt,100,1,0,,,1,349
3574160,4111729,Mich,Manhattan,Upper East Side,40.77968507,-73.9533856,Entire home/apt,250,1,4,12/8/14,0.9,4,360
783964,2347382,Lena & Ray,Queens,Astoria,40.75619433,-73.93004987,Private room,66,2,33,12/1/14,1.4,3,361
3283782,2269804,Katherine,Brooklyn,Bedford-Stuyvesant,40.69291683,-73.94824935,Entire home/apt,160,2,0,,,2,363
2769628,3464208,Vjeko,Manhattan,Hamilton Heights,40.82322106,-73.95576409,Private room,70,4,19,11/13/14,2.3,3,328
2568017,9113389,Stephon,Brooklyn,Bedford-Stuyvesant,40.69227781,-73.93093563,Private room,35,1,10,10/24/14,1.1,12,357
4719789,21328128,Patrick,Brooklyn,Bedford-Stuyvesant,40.69960612,-73.94069028,Private room,69,2,0,,,2,365
3595080,1606560,Zak,Manhattan,West Village,40.73636309,-74.00194059,Private room,125,3,3,11/16/14,0.8,1,365
4468759,23185254,Azumi,Manhattan,Hamilton Heights,40.82660106,-73.94592741,Private room,50,7,0,,,1,68
4791467,24695604,Gina,Queens,Ridgewood,40.7056668,-73.91600832,Private room,80,1,0,,,1,1
995373,5467851,Rebecca,Manhattan,Upper East Side,40.77322447,-73.95091014,Entire home/apt,199,3,37,11/11/14,1.8,1,87
4786187,11082113,Nat,Manhattan,Kips Bay,40.72919293,-73.97794438,Entire home/apt,250,1,0,,,2,0
